Powiat,URL
Powiat opolski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/160900
Powiat prudnicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/161000
Powiat strzelecki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/161100
Miasto na prawach powiatu Opole,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/166100
Powiat bieszczadzki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/180100
Powiat brzozowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/180200
Powiat jarosławski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/180400
Powiat jasielski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/180500
Powiat krośnieński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/180700
Powiat lubaczowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/180900
Powiat przemyski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/181300
Powiat przeworski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/181400
Powiat sanocki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/181700
Powiat leski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/182100
Miasto na prawach powiatu Krosno,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/186100
Miasto na prawach powiatu Przemyśl,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/186200
Powiat dębicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/180300
Powiat kolbuszowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/180600
Powiat leżajski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/180800
Powiat łańcucki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/181000
Powiat mielecki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/181100
Powiat niżański,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/181200
Powiat ropczycko-sędziszowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/181500
Powiat rzeszowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/181600
Powiat stalowowolski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/181800
Powiat strzyżowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/181900
Powiat tarnobrzeski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/182000
Miasto na prawach powiatu Rzeszów,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/186300
Miasto na prawach powiatu Tarnobrzeg,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/186400
Powiat augustowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/200100
Powiat białostocki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/200200
Powiat bielski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/200300
